otu_id	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
OTU_4223	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	26	16	0	0	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
OTU_4062	0	0	0	0	0	0	0	0	0	37	0	77	0	30	0	16	0	0	155	0	0	0	0	16	56	0	0	0	0	33	0	0	58	0	0	18	29	0	43	45	159	26	24	29	538	65	0	18	13	16	13	31	35	69	0	38	0	0	0	0	20	0	0	68	0	0	22	0	302
OTU_1915	52	0	3798	0	0	226	0	2542	0	0	356	0	0	100	0	0	0	97	0	0	0	593	0	0	0	0	0	0	0	0	0	32	0	0	0	373	24	0	0	161	0	0	0	0	117	0	0	28	0	0	0	0	0	0	0	0	52	0	0	0	19	0	0	0	59	55	0	0	0
OTU_4249	68	803	128	316	0	19	334	286	229	158	98	156	71	727	0	176	62	409	0	0	22	278	23	125	868	0	25	0	76	162	26	137	343	28	32	106	1028	0	82	42	51	919	0	0	239	0	237	0	584	0	305	0	30	78	0	165	0	0	0	45	23	242	0	241	25	68	120	0	55
OTU_4101	0	0	0	24	0	0	61	0	0	785	0	571	0	228	0	5843	0	0	0	0	63	34	0	24	1221	0	354	0	232	0	0	0	16	0	0	0	66	0	0	0	0	134	0	0	689	0	833	0	0	0	50	0	0	0	0	56	0	18	0	0	0	69	0	0	0	100	0	0	0
OTU_2785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	14
OTU_4102	0	85	0	27	14	0	77	44	846	0	0	0	32	50	0	103	24	0	40	0	588	24	0	55	180	0	16	30	0	187	13	0	21	0	244	0	1295	0	619	27	33	392	0	0	421	0	141	0	116	0	34	35	0	0	15	522	0	67	18	2389	38	347	0	799	0	0	43	0	728
OTU_1282	0	0	0	0	0	0	0	0	14	11	0	14	0	0	0	0	0	198	108	303	223	0	135	0	0	0	1076	0	12	0	18	0	0	0	78	0	0	133	0	0	3220	40	30	0	0	0	0	0	20	0	0	0	0	566	210	0	69	0	0	0	0	539	0	0	0	0	645	0	0
OTU_4189	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	161	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_625	13	187	0	60	0	0	328	0	287	182	0	432	0	270	0	950	0	286	0	0	11	0	0	0	1501	0	0	0	0	90	0	0	391	0	0	17	677	0	476	0	236	1029	0	20	187	0	386	0	533	0	172	0	0	45	0	333	0	0	0	81	0	0	0	82	0	33	0	14	106
