otu_id	reference_ID	phylum	class	order	family	genus	species	score	cutoff	abundance	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
OTU_845	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_plumbea	1	0.988	78188	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_2212	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_spinifera	1	0.984	60204	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2451	MW354968	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma_pseudo_species_2451	0.9697	0.949	45319	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/hebeloma-alnicola	""	
OTU_4091	KJ775699	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_verruculosus	1	0.985	39330	unspecified_saprotroph	""	""	""	leaf/fruit/seed,soil,animal_material	mold	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1285	JF313675	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis_pseudo_species_1285	0.97895	0.935	34372	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1207	HM148029	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides	1	0.986	32862	litter_saprotroph	plant_pathogen	foliar_endophyte	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,soil,dung,animal_material	""	partly_aquatic	animal_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_129	KX033471	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ampelomyces	Ampelomyces_quisqualis	1	0.992	32120	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	non-aquatic	""	Erysiphaceae	filamentous_mycelium	""	""	""	""	""	
OTU_2449	MW354968	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma_mesophaeum	1	0.988	31453	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/hebeloma-alnicola	""	
OTU_436	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0436	0.92683	0.7	29678	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1414	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthaceae_pseudo_genus_0426	Diaporthaceae_pseudo_species_1414	0.92771	0.904	28550	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1391	AF260264	Ascomycota	Sordariomycetes	Diaporthales	Cytosporaceae	Cytospora	Cytospora_variostromatica	0.9916	0.988	27216	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1773	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1773	0.91176	0.742	23217	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_1340	JX966616	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_eragrostidis	1	0.983	23206	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,roots,algal_material	""	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1482	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_phaseolorum	1	0.988	21797	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1760	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1760	0.96296	0.742	20251	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_2246	KJ160145	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	0.89286	0.7	19448	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,soil,animal_material	soft_rot	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1732	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1732	0.96226	0.742	17875	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_1342	MT524329	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_lunata	1	0.983	17824	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,roots,algal_material	""	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_3721	OR978100	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3721	0.9557	0.944	17502	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
OTU_4183	UDB05843659	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephoraceae_pseudo_genus_1285	Thelephoraceae_pseudo_species_4183	0.92746	0.922	16313	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_4033	OTU_4032	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Staninwardia	Staninwardia_pseudo_species_4033	0.97458	0.971	13961	plant_pathogen	""	""	leaf/fruit/seed_pathogen	""	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1904	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1904	0.96296	0.742	13734	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_3714	UDB05667822	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3714	0.98661	0.944	13342	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
OTU_3277	KT385782	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_macrospinosa	1	0.988	12821	plant_pathogen	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic	""	""	filamentous_mycelium	""	""	""	""	""	
OTU_4223	OTU_4223	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_species_4223	0.99367	0.949	12779	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	corticioid	smooth	medium-distance_smooth	/tomentella-thelephora	""	
OTU_4062	MN108302	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_diversus	0.98726	0.985	12669	unspecified_saprotroph	""	""	""	leaf/fruit/seed,soil,animal_material	mold	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_2458	MW354968	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma_pseudo_species_2458	0.98485	0.949	12124	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/hebeloma-alnicola	""	
OTU_1915	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1915	0.96296	0.742	11768	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_4249	GQ999183	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium_cacti	1	0.986	11594	plant_pathogen	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1241	JQ638711	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina_pseudo_species_1241	0.97044	0.88	11582	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	clavarioid	smooth	contact	/clavulina	""	
OTU_4101	FJ790282	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria_hortaea	0.9932	0.99	11501	plant_pathogen	litter_saprotroph	""	wood_pathogen	wood,leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_2785	KP012882	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon	Lycoperdon_scabrum	1	0.988	11441	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_4102	DQ632677	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeria	Teratosphaeria_obscuris	1	0.99	11337	plant_pathogen	litter_saprotroph	""	wood_pathogen	wood,leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1282	PP073307	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_siamense	0.98113	0.98	10505	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	""	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_4189	OQ421799	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephoraceae_pseudo_genus_1289	Thelephoraceae_pseudo_species_4189	0.92958	0.922	9662	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_625	UDB01473532	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Austroafricana	Austroafricana_pseudo_species_0625	0.99275	0.971	9605	litter_saprotroph	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_3705	OM833150	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3705	0.96983	0.944	9328	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
OTU_437	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0437	0.96296	0.7	9093	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_3568	KY684287	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia_solani	0.97283	0.961	8919	plant_pathogen	litter_saprotroph	""	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,soil	""	""	""	""	filamentous_mycelium	corticioid	smooth	""	""	""	
OTU_2590	KY887797	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_pseudo_species_2590	0.98649	0.825	8857	soil_saprotroph	rock-inhabiting	""	leaf/fruit/seed_pathogen	leaf/fruit/seed,soil,animal_material	""	partly_aquatic	opportunistic_animal_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_605	UDB0590878	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Atheliaceae_pseudo_genus_0135	Atheliaceae_pseudo_species_0605	0.94444	0.922	8768	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1715	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1715	0.87273	0.742	8702	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_3764	JQ665540	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_species_3764	0.9661	0.949	8603	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	corticioid	smooth	short-distance_delicate	/sebacina	""	
OTU_3704	MT583321	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3704	0.97701	0.944	8453	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
OTU_3717	UDB05551237	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3717	1	0.944	8303	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
OTU_3765	KT461334	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_species_3765	0.95238	0.949	8221	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	corticioid	smooth	short-distance_delicate	/sebacina	""	
OTU_63	KP012732	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_parviumbrus	1	0.992	7728	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_422	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0422	0.96296	0.7	7634	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_3265	OTU_3265	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Penidiellopsis	Penidiellopsis_ramosus	0.9918	0.99	7489	animal_parasite	animal_decomposer	""	""	animal_material	""	non-aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1736	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1736	0.98182	0.742	7375	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_228	ON129311	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Ampulloclitocybe	Ampulloclitocybe_pseudo_species_0228	0.9375	0.724	7177	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_4225	UDB06032747	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pseudo_species_4225	1	0.949	7024	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	corticioid	smooth	medium-distance_smooth	/tomentella-thelephora	""	
OTU_3505	OTU_3502	Basidiomycota	Agaricomycetes	Agaricales	Pterulaceae	Pterulaceae_pseudo_genus_1027	Pterulaceae_pseudo_species_3505	0.95385	0.922	6890	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3761	UDB06751054	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_species_3761	1	0.949	6885	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	corticioid	smooth	short-distance_delicate	/sebacina	""	
OTU_852	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_pseudo_species_0852	0.98113	0.949	6837	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_3024	LR961654	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niessliaceae_pseudo_genus_0836	Niessliaceae_pseudo_species_3024	0.96491	0.93	6729	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3722	UDB05683622	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russulaceae_pseudo_genus_1079	Russulaceae_pseudo_species_3722	0.9408	0.922	6544	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_2520	UDB0767279	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola_pseudo_species_2520	0.97931	0.967	6527	wood_saprotroph	""	""	""	wood	soft_rot	non-aquatic	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_2589	MT126623	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia_petricola	1	0.987	6499	soil_saprotroph	rock-inhabiting	""	leaf/fruit/seed_pathogen	leaf/fruit/seed,soil,animal_material	""	partly_aquatic	opportunistic_animal_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_412	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0412	0.96296	0.7	6447	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_4032	OTU_4032	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Staninwardia	Staninwardia_pseudo_species_4032	0.98734	0.971	6444	plant_pathogen	""	""	leaf/fruit/seed_pathogen	""	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_590	MH862751	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0590	0.95862	0.7	6437	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_3197	UDB0763305	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_pseudo_species_3197	0.93007	0.7	6409	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	soil	mold	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_2569	KP641637	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_species_2569	0.95175	0.949	6403	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/inocybe	""	
OTU_703	PP073311	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeriaceae_pseudo_genus_0193	Botryosphaeriaceae_pseudo_species_0703	0.9403	0.936	6329	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_2798	KP641620	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Mallocybe	Mallocybe_pseudo_species_2798	0.98214	0.949	6249	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/inocybe	""	
OTU_4031	OTU_4036	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Staninwardia	Staninwardia_pseudo_species_4031	0.97881	0.971	6233	plant_pathogen	""	""	leaf/fruit/seed_pathogen	""	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_3204	UDB0763326	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_pseudo_species_3204	0.96078	0.7	6136	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	soil	mold	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_4322	KF617709	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia_pseudo_species_4322	0.97794	0.964	6123	plant_pathogen	litter_saprotroph	""	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_2570	KP641642	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudo_species_2570	0.97436	0.949	5989	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	short-distance_delicate	/inocybe	""	
OTU_1325	KU831541	Basidiomycota	Tremellomycetes	Trichosporonales	Tetragoniomycetaceae	Cryptotrichosporon	Cryptotrichosporon_pseudo_species_1325	0.95031	0.944	5931	plant_pathogen	""	""	leaf/fruit/seed_pathogen	""	""	non-aquatic	""	""	yeast	none	none	""	""	""	
OTU_1844	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_1844	0.92308	0.742	5879	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_1688	UDB0647482	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Evernia	Evernia_pseudo_species_1688	0.99177	0.972	5878	lichenized	""	""	""	""	""	non-aquatic	""	""	thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth	""	""	chlorococcoid	
OTU_2770	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdaceae_pseudo_genus_0711	Lycoperdaceae_pseudo_species_2770	0.94444	0.922	5847	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3759	UDB06811223	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina_pseudo_species_3759	1	0.949	5843	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	corticioid	smooth	short-distance_delicate	/sebacina	""	
OTU_3270	OTU_3269	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_pseudo_species_3270	0.95522	0.944	5805	wood_saprotroph	plant_pathogen	""	wood_pathogen	wood	white_rot	partly_aquatic	""	""	filamentous_mycelium	corticioid	smooth	""	""	""	
OTU_1487	OTU_1531	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_pseudo_species_1487	0.9924	0.964	5797	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_4094	KT385771	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_wortmannii	0.99301	0.985	5769	unspecified_saprotroph	""	""	""	leaf/fruit/seed,soil,animal_material	mold	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
OTU_1347	MT605137	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_pseudo_species_1347	0.9661	0.966	5745	plant_pathogen	litter_saprotroph	no_endophytic_capacity	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,roots,algal_material	""	partly_aquatic	opportunistic_human_parasite	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_3655	KU981345	Basidiomycota	Agaricomycetes	Polyporales	Meripilaceae	Rigidoporus	Rigidoporus_pseudo_species_3655	0.98361	0.955	5579	wood_saprotroph	""	""	""	wood	white_rot	non-aquatic	""	""	filamentous_mycelium	polyporoid	poroid	""	""	""	
OTU_714	OTU_706	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeriaceae_pseudo_genus_0197	Botryosphaeriaceae_pseudo_species_0714	0.95181	0.936	5523	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_4360	KT833168	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Xenopenidiella	Xenopenidiella_pseudo_species_4360	0.97973	0.971	5436	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_4187	UDB06041496	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephoraceae_pseudo_genus_1288	Thelephoraceae_pseudo_species_4187	0.92308	0.922	5305	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_2606	AB512323	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Lachnocladiaceae_pseudo_genus_0651	Lachnocladiaceae_pseudo_species_2606	0.95312	0.922	5268	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3575	OTU_3607	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_pseudo_species_3575	0.95588	0.895	5248	arbuscular_mycorrhizal	root-associated	root_endophyte	""	""	""	""	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_416	MG011738	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_pseudo_species_0416	0.91463	0.7	5241	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	""	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	filamentous_mycelium	""	""	""	""	""	
