otu_id	reference_ID	phylum	class	order	family	genus	species	score	cutoff	abundance	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
OTU_3645	KY104709	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus_pseudo_species_3645	0.97664	0.965	14	unspecified_saprotroph	""	""	""	""	""	partly_aquatic	""	""	yeast	none	none	""	""	""	
OTU_2601	OTU_2600	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Kriegeriaceae_pseudo_genus_0648	Kriegeriaceae_pseudo_species_2601	0.95588	0.922	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3804	DQ983816	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinales_pseudo_family_0485	Sebacinales_pseudo_genus_1103	Sebacinales_pseudo_species_3804	0.90741	0.876	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_31	OTU_42	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_pseudo_family_0017	Agaricales_pseudo_genus_0023	Agaricales_pseudo_species_0031	0.91525	0.876	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_983	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_pseudo_species_0983	0.95	0.949	14	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_981	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_pseudo_species_0981	0.95312	0.949	14	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_982	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_pseudo_species_0982	0.95455	0.949	14	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_985	OTU_968	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_pseudo_species_0985	0.98214	0.949	14	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_987	MN338567	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Bovista	Bovista_pseudo_species_0987	0.96296	0.949	14	soil_saprotroph	""	""	""	soil	""	non-aquatic	""	""	filamentous_mycelium	gasteroid	closed	""	""	""	
OTU_236	ON129311	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Ampulloclitocybe	Ampulloclitocybe_pseudo_species_0236	0.90741	0.724	14	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_237	ON129311	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Ampulloclitocybe	Ampulloclitocybe_pseudo_species_0237	0.94118	0.724	14	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_239	ON129311	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Ampulloclitocybe	Ampulloclitocybe_pseudo_species_0239	0.90196	0.724	14	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_235	ON129311	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Ampulloclitocybe	Ampulloclitocybe_pseudo_species_0235	0.94118	0.724	14	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	""	""	""	
OTU_52	OTU_241	Basidiomycota	Agaricomycetes	Agaricomycetes_pseudo_order_0009	Agaricomycetes_pseudo_family_0034	Agaricomycetes_pseudo_genus_0040	Agaricomycetes_pseudo_species_0052	0.7800004	0.744	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_51	MN338567	Basidiomycota	Agaricomycetes	Agaricomycetes_pseudo_order_0008	Agaricomycetes_pseudo_family_0033	Agaricomycetes_pseudo_genus_0039	Agaricomycetes_pseudo_species_0051	0.8225	0.744	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_4174	OTU_1322	Basidiomycota	Tremellomycetes	Trichosporonales	Tetragoniomycetaceae	Tetragoniomycetaceae_pseudo_genus_1282	Tetragoniomycetaceae_pseudo_species_4174	0.94231	0.922	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_2712	UDB0647482	Ascomycota	Lecanoromycetes	Lecanorales	Lecanorales_pseudo_family_0294	Lecanorales_pseudo_genus_0670	Lecanorales_pseudo_species_2712	0.94048	0.928	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_2732	HQ650630	Ascomycota	Lecanoromycetes	Lecanoromycetes_pseudo_order_0105	Lecanoromycetes_pseudo_family_0311	Lecanoromycetes_pseudo_genus_0687	Lecanoromycetes_pseudo_species_2732	0.91228	0.843	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3293	UDB079623	Ascomycota	Pezizomycetes	Pezizomycetes_pseudo_order_0145	Pezizomycetes_pseudo_family_0398	Pezizomycetes_pseudo_genus_0903	Pezizomycetes_pseudo_species_3293	0.86792	0.843	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1180	KJ869121	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Circinotrichum	Circinotrichum_pseudo_species_1180	0.96471	0.948	14	litter_saprotroph	""	""	""	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_628	UDB01473532	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Austroafricana	Austroafricana_pseudo_species_0628	0.97203	0.971	14	litter_saprotroph	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_4154	UDB05444053	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Teratosphaeriaceae_pseudo_genus_1274	Teratosphaeriaceae_pseudo_species_4154	0.96774	0.936	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3028	LR961654	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niessliaceae_pseudo_genus_0839	Niessliaceae_pseudo_species_3028	0.95161	0.93	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3715	KY697571	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pseudo_species_3715	0.98137	0.944	14	ectomycorrhizal	""	""	""	""	""	non-aquatic	""	""	filamentous_mycelium	agaricoid	gills	contact	/russula-lactarius	""	
OTU_4035	OTU_4036	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Staninwardia	Staninwardia_pseudo_species_4035	0.97468	0.971	14	plant_pathogen	""	""	leaf/fruit/seed_pathogen	""	""	non-aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_4028	MH397107	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Stagonosporopsis	Stagonosporopsis_cucurbitacearum	1	0.993	14	plant_pathogen	""	""	leaf/fruit/seed_pathogen	""	""	partly_aquatic	""	""	filamentous_mycelium	""	""	""	""	""	
OTU_3635	OTU_3626	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium_pseudo_species_3635	0.9599982	0.847	13	algal_parasite	litter_saprotroph	""	algal_parasite	leaf/fruit/seed,algal_material,fungal_material,protist_material	keratinolytic	partly_freshwater_(partly_non-aquatic)	""	""	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	""	""	""	
