otu_id	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
OTU_4033	134	19	0	38	42	24	140	0	29	41	66	20	163	106	59	145	97	194	145	38	0	44	0	0	164	67	23	31	0	37	0	25	24	25	0	68	0	103	29	111	0	43	57	112	86	145	0	105	17	0	59	16	0	138	0	0	37	59	0	65	0	0	34	0	0	84	0	0	82	0	68	120
OTU_1904	0	0	0	0	0	0	0	0	105	0	22	0	0	0	0	0	103	0	0	0	0	28	0	0	93	103	0	0	0	152	0	31	0	30	0	0	0	121	0	0	0	0	0	21	0	0	0	0	124	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0
OTU_3714	0	0	0	0	3809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9410	0	0	0	0	0	0	0	0	0	0	0
OTU_3277	33	66	338	84	0	116	0	80	20	35	37	244	64	96	0	60	25	388	0	47	81	0	17	189	17	130	0	30	195	0	0	0	37	0	24	84	26	0	15	0	97	28	0	0	15	50	54	36	0	183	0	75	0	0	0	18	0	22	0	29	0	27	0	98	55	81	0	42	0	69	93	37
OTU_4223	102	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	18	0	0	1257	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	2189	475	0	576	395	0	1218	0	188	0	3237	0	0	0	30	0	0	0	0	0	0	0	134	0	0	0	0	0	945	0	0	389	0	0	752
OTU_4062	393	211	0	0	97	191	249	0	181	47	118	105	550	95	45	0	318	110	629	135	186	126	102	140	81	472	169	194	76	229	56	117	103	161	0	224	229	49	96	217	0	188	96	106	372	0	67	234	93	145	476	75	88	73	62	31	204	42	160	22	114	84	0	199	214	40	351	77	180	0	205	71
OTU_2458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	0	0	0	0	0	7852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1677	0	0	0	0	0	0	0
OTU_1915	0	577	0	207	33	703	0	0	0	170	0	821	0	13	0	36	0	0	0	0	0	0	0	19	0	0	55	0	0	0	0	0	0	0	0	13	0	0	14	0	0	0	0	0	0	0	0	14	0	0	0	0	0	75	0	0	0	0	0	24	0	0	0	125	0	0	0	0	0	185	0	0
OTU_4249	0	19	0	66	0	28	50	0	0	33	0	75	85	32	0	26	0	41	16	35	0	0	0	24	0	0	0	16	0	0	0	0	0	0	30	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	14	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	23	20	40
OTU_1241	0	0	0	0	4581	0	0	0	0	0	6806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	34	0
OTU_4101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0
OTU_2785	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1328	183	0	0	26	0	31	0	8879	30	0	0	25	501	16	0	19	0	68	14	0	0	0	0	47	0	0	0	0	15	0	12	0	0	0	0	15	65	0	0	0	0	0	0	14	0	0	0
OTU_4102	0	0	0	0	0	0	0	0	0	0	0	52	70	0	0	0	0	0	0	0	0	0	108	19	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	14	0	0	0	0	14	0	0	0	24	0	0	0	0	52	0	0	0	13	0	0	0
