otu_id	S1	S10	S100	S101	S102	S106	S107	S108	S109	S11	S110	S112	S113	S114	S115	S116	S117	S121	S122	S123	S124	S126	S127	S129	S130	S131	S132	S134	S136	S138	S140	S141	S142	S144	S145	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S160	S161	S162	S164	S165	S166	S167	S168	S169	S17	S170	S171	S172	S173	S175	S177	S179	S181	S182	S185	S186	S187	S188	S189	S190	S192	S2	S20	S25	S34	S36	S41	S42	S44	S50	S52	S57	S59	S60	S65	S66	S67	S68	S73	S81	S82	S84	S89	S9	S91	S92	S103	S104	S105	S111	S118	S119	S12	S120	S125	S128	S133	S137	S139	S143	S146	S159	S163	S174	S176	S18	S180	S183	S184	S191	S26	S27	S28	S3	S33	S35	S4	S49	S51	S58	S74	S75	S76	S83	S90	S97	S99	S178	S98
OTU_1391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	238	161	0	0	163	0	0	0	0	0	1506	0	0	0	285	0	0	0	0	0	0	0	1664	0	0	0	0	0	0	0	44	0	0	0	666	0	0	0	0	1004	0	315	0	0	0	12	0	0	0	0	0	2197	0	0	0	0	0	0
OTU_1340	76	0	41	72	48	6	81	20	84	100	8	0	55	7	87	175	33	69	46	63	65	6	183	39	78	35	21	83	14	83	7	6	35	130	0	165	7	22	123	7	79	59	62	24	62	26	52	38	55	0	0	0	99	95	0	39	56	9	123	0	121	20	15	48	113	0	56	15	67	0	51	11	0	60	0	51	0	32	44	0	80	0	114	14	0	0	179	0	29	41	71	39	0	0	73	44	61	0	416	41	135	104	12	63	0	16	34	20	55	20	75	52	88	66	90	16	0	48	0	0	0	10	10	84	0	118	31	0	0	68	0	48	0	38	0	33	0	234	120	0	13
OTU_1773	0	0	62	170	0	6	165	10	269	0	0	0	25	0	338	53	236	36	0	66	25	5	0	0	30	149	71	105	0	37	82	44	16	0	18	50	13	103	233	0	0	131	117	7	20	218	309	0	23	6	0	0	97	0	0	144	0	0	62	0	179	0	0	21	299	0	67	30	54	0	273	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	132	0	0	0	239	0	164	33	50	0	90	0	70	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	12	30
OTU_1482	105	0	0	0	0	0	0	17	0	0	0	0	0	0	0	17	26	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	149	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1449	0	0	0	0	16	0	0	0	0	22	252	0	0	0	0	39	0	0	0	0	0	0	0	0	0	7	0	0	0	0	625	12	0	61	0	0	0	0	0	0	0	0	0	68	0	0	0	0	455	0	613	0	0	235	27	0	3004	0	0	0	20	0	0	0	4	0	0
OTU_1760	21	24	63	119	0	23	111	48	12	0	0	0	30	0	70	263	39	124	16	202	143	0	216	58	0	47	0	28	0	0	0	28	28	0	27	156	0	37	51	16	0	85	0	21	0	37	35	0	268	0	0	0	43	37	0	29	52	0	98	0	0	0	25	100	0	0	73	0	141	0	0	62	0	0	0	83	0	36	53	0	75	0	0	15	17	0	57	0	0	48	6	0	0	0	26	50	0	0	30	9	75	36	0	16	0	0	40	114	121	44	41	386	0	51	148	48	0	81	0	0	0	0	114	29	0	84	11	13	0	138	0	0	0	0	9	0	0	47	94	0	16
OTU_2246	28	0	49	38	0	30	98	31	10	168	0	15	95	27	57	18	60	100	12	80	119	13	38	70	55	53	25	15	0	17	20	0	27	0	38	58	180	20	69	0	0	123	32	34	55	36	0	0	16	23	14	0	35	24	0	50	24	7	48	50	36	13	8	36	48	0	96	16	48	157	0	0	52	0	0	105	0	0	0	0	22	0	0	0	13	0	95	0	0	0	24	349	19	0	120	271	19	0	111	0	82	32	23	0	0	13	29	27	47	36	28	0	106	0	40	11	8	0	0	1272	19	12	0	0	0	19	25	0	0	12	0	12	0	0	0	62	10	76	84	14	40
OTU_1732	0	97	0	0	0	22	0	0	0	0	0	65	19	0	0	6	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	13	0	0	0	0	0	9	0	0	4	19	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	458	0	0	0	36	0	181	0	13	0	0	30	51	0	0	305	0	15	0	0	210	88	0	0	0	250	0	10	0	0	0	0	10	317	0	288	1522	9	24	162	0	370	0	0	0	38	0	0	131	0	144	0	0	0	0	0	81	9	5	0	263	0	0	0	44	0	0	0	0
OTU_1342	7	0	7	32	14	6	9	0	88	433	0	38	17	0	6	14	9	19	19	21	7	0	90	22	60	8	0	30	62	57	0	0	11	77	0	29	4	9	60	17	366	18	34	5	23	0	43	52	10	5	0	0	21	25	0	35	15	0	50	0	37	79	9	27	75	0	79	16	46	0	9	14	0	18	0	26	0	50	6	14	29	0	85	11	0	239	283	0	7	0	262	180	0	0	591	18	10	0	14	65	13	18	0	38	0	55	5	50	29	9	6	88	154	38	65	7	0	0	0	28	0	131	0	44	0	169	0	14	0	21	0	53	0	39	0	46	0	35	6	0	8
OTU_3721	0	0	0	0	0	0	0	0	0	0	1879	0	0	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	355	0	0	0	0	0	0	0	1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4183	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	528	0	314	0	22	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	595	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4033	8	151	31	4	0	8	5	30	0	0	8	163	14	15	4	39	24	42	40	41	34	0	26	11	0	0	40	6	0	0	0	6	5	0	9	16	0	21	7	42	0	24	0	8	14	29	19	0	39	0	3	0	18	57	0	5	6	0	40	0	0	14	10	14	0	30	0	0	29	0	0	21	19	47	0	29	0	111	197	0	329	0	77	41	142	16	79	0	0	59	11	9	0	37	81	28	0	116	0	67	16	18	19	13	18	132	9	343	19	7	12	303	0	80	22	13	0	141	0	0	0	0	85	22	0	77	28	24	0	73	33	0	0	0	21	0	35	0	21	0	12
OTU_1904	82	130	0	0	0	0	0	0	0	0	28	52	0	5	0	0	0	0	42	0	0	0	0	7	0	0	22	0	0	0	0	7	0	0	11	0	0	25	0	258	0	0	0	0	0	5	0	0	0	0	22	39	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	172	1565	63	0	0	0	32	0	0	0	0	48	324	0	0	166	49	23	0	0	76	22	0	0	0	8	0	16	0	0	0	0	0	248	0	265	30	0	49	12	0	138	0	0	0	247	0	0	93	0	22	0	13	0	31	79	9	132	7	0	7	0	25	0	15	0	0	0	0
OTU_3714	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3380	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0
OTU_3277	125	0	8	15	72	0	25	0	21	147	5	20	12	8	46	15	21	17	10	82	0	18	32	0	5	46	4	0	37	28	0	0	7	19	0	20	4	0	4	11	20	0	22	5	0	0	3	5	13	12	0	52	0	23	0	21	482	0	0	0	4	47	4	6	6	0	16	13	28	0	9	0	0	0	0	80	29	9	6	82	7	68	46	8	0	32	71	0	381	0	11	9	0	0	34	248	116	0	64	36	35	469	0	28	16	101	11	22	38	7	0	36	6	21	8	0	6	12	0	0	0	31	0	128	31	24	47	0	3	26	0	12	0	8	0	23	0	48	6	0	17
OTU_4223	0	0	24	0	0	0	0	0	114	18	0	0	0	0	0	0	0	0	0	0	4	0	0	321	0	0	0	0	0	0	0	56	0	0	0	0	0	451	116	0	0	0	130	72	0	310	0	7	50	0	0	0	0	4	0	9	0	0	0	0	0	4	0	29	0	0	0	0	323	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	131	0	0
OTU_4062	0	0	91	47	0	19	41	53	0	0	48	0	16	26	20	131	21	0	131	23	147	40	0	32	32	34	20	40	0	11	13	28	19	0	61	53	39	10	23	4	0	46	0	34	24	27	83	44	0	14	17	41	149	0	0	21	0	24	21	16	7	0	7	5	20	0	33	49	14	52	17	46	0	17	0	0	0	10	7	13	15	50	18	5	4	19	23	28	0	29	0	8	0	19	0	0	0	107	0	0	0	0	15	0	0	10	32	25	137	44	74	7	0	0	50	72	4	16	41	0	0	0	17	0	0	17	14	23	39	210	0	6	0	0	0	0	8	0	12	48	37
OTU_2458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1915	11	0	0	130	0	6	153	0	0	0	0	0	59	0	156	0	3	10	0	0	0	0	156	0	0	5	0	13	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	22	0	0	0	0	5	0	0	20	0	0	0	0	0	0	0	0	8	0	36	0	0	0	0	28	0	0	0	0	0	0	0	13	8	0	0	16	53	0	0	992	0	87	165	0	697	0	0	0	0	0	0	0	22	0	20	3	0	0	0	0	0	0	0	0	0	0	354	12	0	0	46	0	0	0	0	0	0	0	129	0	0	0
OTU_4249	14	461	0	4	0	0	6	11	0	0	0	136	11	0	14	20	7	7	0	9	4	0	43	0	0	6	0	0	17	0	0	0	0	0	0	4	0	0	0	41	13	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	74	0	4	0	0	5	0	4	0	0	0	0	0	0	0	0	22	82	13	33	0	10	245	0	0	0	0	209	95	0	20	32	0	127	0	10	120	68	7	65	0	20	33	73	28	14	0	78	114	41	8	51	0	4	0	162	7	87	0	0	35	255	0	0	9	0	103	15	20	101	503	44	13	93	61	0	0	0	15	0	44	16	7	0	4
