Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
genus	Glomeromycota	0.895	0.7682	50	Glomeromycota	0.895	0.7682	50	3609	32	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Chytridiomycota	0.847	0.8444	50	Chytridiomycota	0.847	0.8444	50	1506	69	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	Kickxellomycota	0.7	0.9685	50	Kickxellomycota	0.7	0.9685	50	140	11	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
genus	All	0.949	0.5691	50	All	0.949	0.5691	50	13882	2293	unite2024ITS2.unique.genus.fasta	unite2024ITS2.unique.genus.classification
family	Agaricales	0.929	0.5037	50	Basidiomycota	0.922	0.6675	50	2853	25	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Diaporthales	0.904	0.9477	50	Diaporthales	0.904	0.9477	50	5233	18	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Pleosporales	0.935	0.9384	50	Pleosporales	0.935	0.9384	50	4933	34	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Lecanorales	0.961	0.8612	50	Lecanorales	0.961	0.8612	50	7667	14	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Amphisphaeriales	0.933	0.967	50	Amphisphaeriales	0.933	0.967	50	2378	10	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Helotiales	0.922	0.9299	50	Helotiales	0.922	0.9299	50	4487	14	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Dothideomycetes_ord_Incertae_sedis	0.7	0.9366	50	Dothideomycetes_ord_Incertae_sedis	0.7	0.9366	50	295	12	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
family	Xylariales	0.903	0.9355	50	Xylariales	0.903	0.9355	50	3946	13	unite2024ITS2.unique.family.fasta	unite2024ITS2.unique.family.classification
